old_ticker,new_ticker,effective_date,company_name,source_url
FB,META,2022-06-09,Meta Platforms,https://investor.atmeta.com/investor-news/press-release-details/2022/Meta-to-Begin-Trading-Under-META-Ticker-Symbol/default.aspx
ANTM,ELV,2022-06-28,Elevance Health,https://www.elevancehealth.com/newsroom/anthem-inc-is-now-elevance-health
WLTW,WTW,2022-01-05,Willis Towers Watson,https://www.wtwco.com/en-us/news/2021/12/wtw-announces-new-ticker-symbol
LB,BBWI,2021-08-03,Bath & Body Works,https://www.sec.gov/Archives/edgar/data/701985/000070198521000148/0000701985-21-000148-index.htm
CTL,LUMN,2021-01-15,Lumen Technologies,https://ir.lumen.com/news/news-details/2020/CenturyLink-Rebrands-as-Lumen-Technologies/default.aspx
ADS,BFH,2022-03-23,Bread Financial,https://investor.breadfinancial.com/news/news-details/2022/Alliance-Data-Systems-Rebrands-as-Bread-Financial/default.aspx
COG,CTRA,2021-10-01,Coterra Energy,https://www.coterra.com/news-releases/coterra-energy-inc-announces-completion-of-merger
DWDP,DD,2019-06-03,DuPont de Nemours,https://www.dupont.com/news/dowdupont-becomes-dupont.html
KORS,CPRI,2019-01-02,Capri Holdings,https://www.capriholdings.com/news/news-details/2019/Michael-Kors-Holdings-Limited-Changes-Name-To-Capri-Holdings-Limited/default.aspx
PCLN,BKNG,2018-02-27,Booking Holdings,https://ir.bookingholdings.com/news-releases/news-release-details/priceline-group-changes-name-booking-holdings-inc
TSO,ANDV,2017-08-01,Andeavor,https://www.sec.gov/Archives/edgar/data/50104/000005010417000097/0000050104-17-000097-index.htm
HRS,LHX,2019-07-01,L3Harris Technologies,https://www.l3harris.com/newsroom/press-release/2019/06/l3-harris-technologies-completes-merger
IR,TT,2020-03-02,Trane Technologies,https://www.tranetechnologies.com/en/index/news/2020/02/ingersoll-rand-becomes-trane-technologies.html
CBS,VIAC,2019-12-05,Paramount Global,https://ir.paramount.com/news-releases/news-release-details/viacom-and-cbs-complete-merger
VIAC,PARA,2022-02-16,Paramount Global,https://ir.paramount.com/news-releases/news-release-details/viacomcbs-becomes-paramount
SYMC,NLOK,2019-11-05,Gen Digital,https://investor.gendigital.com/news/news-details/2019/Symantec-Corporation-Becomes-NortonLifeLock-Inc/default.aspx
NLOK,GEN,2022-11-08,Gen Digital,https://investor.gendigital.com/news/news-details/2022/NortonLifeLock-Becomes-Gen/default.aspx
HCP,PEAK,2019-11-05,Healthpeak Properties,https://ir.healthpeak.com/news/press-releases/2019/HCP-Becomes-Healthpeak-Properties/default.aspx
PEAK,DOC,2024-03-04,Healthpeak Properties,https://ir.healthpeak.com/news/press-releases/2024/Healthpeak-Properties-Completes-Merger-with-Physicians-Realty-Trust/default.aspx
FLT,CPAY,2024-03-25,Corpay,https://investor.corpay.com/news/press-releases/2024/FLEETCOR-Becomes-Corpay/default.aspx
PKI,RVTY,2023-05-16,Revvity,https://ir.revvity.com/news-releases/news-release-details/perkinelmer-becomes-revvity
ABC,COR,2023-08-30,Cencora,https://investor.cencora.com/news/press-releases/2023/AmerisourceBergen-Is-Now-Cencora/default.aspx
FISV,FI,2023-05-31,Fiserv,https://investors.fiserv.com/news-releases/news-release-details/fiserv-change-ticker-symbol-fi
HFC,DINO,2022-03-14,HF Sinclair,https://www.hfsinclair.com/news/hf-sinclair-corporation-completes-transactions
DISCA,WBD,2022-04-11,Warner Bros. Discovery,https://ir.wbd.com/news/news-details/2022/Discovery-Inc-and-WarnerMedia-Complete-Transaction/default.aspx
